episode_id,episode_type,state_role,step,pre_collapse_step,Gamma,delta_from_pre_Gamma,I,delta_from_pre_I,Gamma_minus_I,delta_from_pre_Gamma_minus_I,D_eq,delta_from_pre_D_eq,full_projected_accuracy,delta_from_pre_full_projected_accuracy,full_entropy_normalized,delta_from_pre_full_entropy_normalized,centered_logit_rms,delta_from_pre_centered_logit_rms
joint_002,joint,train_trough,8450,8400,0.40804692192735814,-6.7544273573070726,13.314295711565881,-68.39639798410042,-12.906248789638523,61.64197062679334,0.5974738856590673,0.38179265730585654,1.0,0.0,0.7114211463836988,0.7020535512886343,3.3493781171506396,-34.18912089287266
joint_002,joint,train_recovery_start,8550,8400,5.89252373586617,-1.2699505433682603,76.49068751438023,-5.220006181286067,-70.59816377851405,3.9500556379178136,0.2804179046694057,0.0647366763161949,1.0,0.0,0.05345900465013934,0.04409140955507489,32.23454077084009,-5.30395823918321
joint_002,joint,test_recovery_start,8600,8400,6.299033869717903,-0.863440409516528,77.8608765412573,-3.8498171544089956,-71.5618426715394,2.9863767448924676,0.26941057183503314,0.053729343481822345,1.0,0.0,0.035410276641534746,0.02604268154647029,34.207465264710905,-3.3310337453123964
joint_002,joint,train_recovery_confirmed,8650,8400,6.430340631999684,-0.7321336472347468,77.99142403749062,-3.7192696581756763,-71.56108340549093,2.9871360109409295,0.2632133319524401,0.047532103599229325,1.0,0.0,0.029169451858991027,0.019801856763926567,34.68563992787838,-2.8528590821449242
joint_002,joint,test_recovery_confirmed,8700,8400,6.478768047762912,-0.6837062314715183,77.20497439490174,-4.505719300764554,-70.72620634713883,3.8220130692930354,0.2585096825673928,0.04282845421418202,1.0,0.0,0.025889042939209433,0.016521447844144978,34.7264474858794,-2.8120515241439037
joint_002,joint,post_recovery,8750,8400,6.492966922845561,-0.6695073563888698,76.10899334539705,-5.60170035026924,-69.6160264225515,4.9321929938803635,0.2545926973858202,0.03891146903260939,1.0,0.0,0.02385690686732535,0.014489311772260894,34.57749957460046,-2.960999435422842
joint_003,joint,pre_collapse,10000,10000,6.940712419449682,0.0,69.05963390896457,0.0,-62.11892148951489,0.0,0.2158101500990206,0.0,1.0,0.0,0.009045064888416235,0.0,33.93066093765006,0.0
joint_003,joint,onset,10050,10000,0.17890468800329762,-6.761807731446384,11.027185069255845,-58.03244883970873,-10.848280381252547,51.27064110826234,0.693249019155845,0.4774388690568244,1.0,0.0,0.7868121061992848,0.7777670413108685,2.1009979256213067,-31.829663012028753
joint_003,joint,test_trough,10050,10000,0.17890468800329762,-6.761807731446384,11.027185069255845,-58.03244883970873,-10.848280381252547,51.27064110826234,0.693249019155845,0.4774388690568244,1.0,0.0,0.7868121061992848,0.7777670413108685,2.1009979256213067,-31.829663012028753
joint_003,joint,train_trough,10050,10000,0.17890468800329762,-6.761807731446384,11.027185069255845,-58.03244883970873,-10.848280381252547,51.27064110826234,0.693249019155845,0.4774388690568244,1.0,0.0,0.7868121061992848,0.7777670413108685,2.1009979256213067,-31.829663012028753
joint_003,joint,test_recovery_start,10150,10000,5.88045053870254,-1.0602618807471416,77.87580092602725,8.816167017062682,-71.99535038732472,-9.87642889780983,0.27112001733036756,0.055309867231346954,1.0,0.0,0.06044189018084443,0.05139682529242819,33.350443523344595,-0.5802174143054657
