target_step,episode_id,episode_type,state_role,state_role_id,episode_status,resolution,replay_source_step,replay_updates,active_test_episode_ids,recovery_start,recovery_confirmed
18300,test_007,test,post_recovery,test_007:post_recovery,recovered,exact_checkpoint,,0,[],not_applicable,not_applicable
18300,test_008,test,pre_collapse,test_008:pre_collapse,recovered,exact_checkpoint,,0,[],not_applicable,not_applicable
18350,joint_008,joint,onset,joint_008:onset,recovered,deterministic_replay,18300,50,[],not_applicable,not_applicable
18350,joint_008,joint,test_trough,joint_008:test_trough,recovered,deterministic_replay,18300,50,[],not_applicable,not_applicable
18350,joint_008,joint,train_trough,joint_008:train_trough,recovered,deterministic_replay,18300,50,[],not_applicable,not_applicable
18350,test_008,test,onset,test_008:onset,recovered,deterministic_replay,18300,50,[],not_applicable,not_applicable
18350,test_008,test,test_trough,test_008:test_trough,recovered,deterministic_replay,18300,50,[],not_applicable,not_applicable
18700,joint_008,joint,train_recovery_start,joint_008:train_recovery_start,recovered,exact_checkpoint,,0,[],not_applicable,not_applicable
18800,joint_008,joint,train_recovery_confirmed,joint_008:train_recovery_confirmed,recovered,exact_checkpoint,,0,[],not_applicable,not_applicable
20000,protocol,protocol,m1b_m1c_anchor,lineage:m1b_m1c_anchor,observed,exact_checkpoint,,0,"[""test_008""]",not_applicable,not_applicable
20050,protocol,protocol,m1c_first_replay,lineage:m1c_first_replay,observed,deterministic_replay,20000,50,"[""test_008""]",not_applicable,not_applicable
21300,joint_008,joint,test_recovery_start,joint_008:test_recovery_start,recovered,exact_checkpoint,,0,[],not_applicable,not_applicable
21300,test_008,test,test_recovery_start,test_008:test_recovery_start,recovered,exact_checkpoint,,0,[],not_applicable,not_applicable
21400,joint_008,joint,test_recovery_confirmed,joint_008:test_recovery_confirmed,recovered,exact_checkpoint,,0,[],not_applicable,not_applicable
21400,test_008,test,test_recovery_confirmed,test_008:test_recovery_confirmed,recovered,exact_checkpoint,,0,[],not_applicable,not_applicable
21450,joint_008,joint,post_recovery,joint_008:post_recovery,recovered,deterministic_replay,21400,50,[],not_applicable,not_applicable
